team,play count,cover 0 count,cover 1 count,cover 2 count,cover 3 count,cover 4 count,cover 6 count,cover 0 percent,cover 1 percent,cover 2 percent,cover 3 percent,cover 4 percent,cover 6 percent,overall epa,cover 0 epa,cover 1 epa,cover 2 epa,cover 3 epa,cover 4 epa,cover 6 epa,overall epa rate,cover 0 epa rate,cover 1 epa rate,cover 2 epa rate,cover 3 epa rate,cover 4 epa rate,cover 6 epa rate
CHI,621,25,203,147,61,95,90,4.0,32.7,23.7,9.8,15.3,14.5,-24.45814900000001,12.446523999999998,28.835214999999987,-20.578675000000008,-4.563687999999999,-42.77596400000001,2.1784390000000022,-0.03938510305958134,0.10286383471074378,0.23830756198347097,-0.17007169421487608,-0.03771642975206611,-0.3535203636363637,0.018003628099173573
BUF,507,36,191,101,49,77,53,7.1,37.7,19.9,9.7,15.2,10.5,-0.4708209999999967,-2.406387999999999,-9.542235000000002,24.639432000000003,0.6924719999999993,-3.7499870000000026,-10.104114999999998,-0.0009286410256410192,-0.019887504132231396,-0.07886144628099175,0.20363166942148764,0.005722909090909085,-0.030991628099173576,-0.08350508264462808
BAL,596,78,236,94,67,60,57,13.1,39.6,15.8,11.2,10.1,9.6,10.553222999999964,9.320393000000001,-17.775699,25.551225999999996,-4.107473999999997,14.625985000000007,-15.831695000000002,0.017706749999999938,0.07702804132231406,-0.14690660330578512,0.21116715702479336,-0.03394606611570246,0.12087590909090914,-0.13084045454545457
MIN,456,23,144,86,49,99,55,5.0,31.6,18.9,10.7,21.7,12.1,18.362861000000034,-6.176096000000002,26.469870999999998,-4.759017,-4.847183999999999,-15.370724000000003,23.046011,0.04026943201754393,-0.05104211570247936,0.2187592644628099,-0.039330719008264466,-0.04005937190082644,-0.12703077685950415,0.1904629008264463
NE,613,93,305,96,37,55,27,15.2,49.8,15.7,6.0,9.0,4.4,19.834757000000064,-5.639659000000002,-27.797519999999967,23.69510999999999,4.465144,19.412515999999997,5.699166000000001,0.032356862969004994,-0.04660875206611572,-0.22973157024793361,0.19582735537190074,0.036902016528925614,0.16043401652892558,0.047100545454545464
LAC,527,21,211,104,66,64,61,4.0,40.0,19.7,12.5,12.1,11.6,24.328505999999983,-7.619946999999998,30.78799900000001,15.147939999999998,-9.624842000000001,-22.388281999999997,18.025638,0.0461641480075901,-0.06297476859504131,0.2544462727272728,0.12518958677685948,-0.07954414876033059,-0.18502712396694213,0.14897221487603307
JAX,511,59,231,43,71,63,44,11.5,45.2,8.4,13.9,12.3,8.6,30.862311000000002,4.749264999999999,37.26976199999997,-7.630877,-2.305895000000001,-3.0500289999999985,1.8300850000000022,0.06039591193737769,0.03925012396694214,0.3080145619834708,-0.06306509917355371,-0.019056983471074387,-0.025206851239669408,0.015124669421487621
CLE,635,384,108,12,127,3,1,60.5,17.0,1.9,20.0,0.5,0.2,53.35976400000003,22.428538000000028,-2.643820999999998,9.534449000000002,22.259852,2.031496,-0.25075,0.08403112440944886,0.1853598181818184,-0.021849760330578498,0.07879709917355374,0.18396571900826444,0.01678922314049587,-0.0020723140495867765
IND,548,17,174,142,56,114,45,3.1,31.8,25.9,10.2,20.8,8.2,53.41118699999998,3.1436170000000008,57.127904000000036,16.265774999999994,0.5552160000000009,-18.99533299999999,-4.685992,0.09746566970802915,0.025980305785123975,0.47213143801652924,0.13442789256198343,0.004588561983471082,-0.1569862231404958,-0.038727206611570246
TEN,538,46,243,66,75,69,39,8.6,45.2,12.3,13.9,12.8,7.2,58.24981199999998,-15.238749999999996,31.893401,12.624998,12.269982999999996,7.969981000000002,8.730199,0.10827102602230479,-0.12594008264462805,0.263581826446281,0.104338826446281,0.10140481818181815,0.06586761157024795,0.0721504049586777
HOU,596,59,160,51,147,153,26,9.9,26.8,8.6,24.7,25.7,4.4,63.00489399999996,24.922904,32.185736000000006,-22.569115999999998,3.1999390000000005,23.70682900000001,1.558602,0.10571290939597308,0.2059744132231405,0.2659978181818182,-0.18652161983471072,0.026445776859504135,0.19592420661157034,0.01288100826446281
DEN,527,42,245,97,64,50,29,8.0,46.5,18.4,12.1,9.5,5.5,69.79484799999997,2.7559259999999974,58.519664000000006,7.149051,0.05761900000000009,5.776351,-4.463762999999999,0.1324380417457305,0.022776247933884275,0.4836335867768595,0.05908306611570248,0.0004761900826446288,0.047738438016528925,-0.03689060330578512
LA,538,25,147,94,116,112,44,4.6,27.3,17.5,21.6,20.8,8.2,74.264319,18.803363,20.602769000000006,14.642442,11.584950000000001,1.3184359999999984,7.312358999999998,0.13803776765799255,0.15539969421487604,0.17027081818181822,0.12101191735537191,0.09574338842975208,0.010896165289256184,0.06043271900826445
PIT,573,38,212,96,101,81,45,6.6,37.0,16.8,17.6,14.1,7.9,75.33892899999994,27.400330999999998,25.79904299999999,19.646069000000015,10.517061000000009,5.739198999999998,-13.762774,0.13148155148342047,0.2264490165289256,0.2132152314049586,0.16236420661157036,0.0869178595041323,0.04743139669421486,-0.11374193388429753
WAS,547,42,244,100,50,81,30,7.7,44.6,18.3,9.1,14.8,5.5,83.05215399999996,13.231875,41.815456000000026,17.299103,11.710052999999998,-2.8123999999999985,1.808067,0.15183209140767817,0.10935433884297521,0.34558228099173577,0.14296779338842974,0.09677729752066115,-0.023242975206611557,0.014942702479338843
