,db nflId,db name,rc nflId,rc name,play epa,expected epa,epa delta
807,71251,Patrick Chung,2495139,Charles Clay,-9.994132,-0.498,-9.496132000000001
1836,2558982,Hardy Nickerson,2540232,Jack Doyle,-9.325884,-0.125,-9.200884
4006,2550257,Daniel Sorensen,71265,Jared Cook,-9.144098,0.22699999999999998,-9.371098
4310,2559164,Michael Davis,2558856,David Moore,-8.794337,0.254,-9.048337
3894,2552265,Steven Nelson,2495450,A.J. Green,-7.9895,0.39299999999999996,-8.3825
549,2552434,Bobby McCain,2557863,Zay Jones,-7.6873,-0.109,-7.5783
1094,2552484,P.J. Williams,2541785,Adam Thielen,-7.465433,0.35100000000000003,-7.816433
2656,2532920,Josh Norman,2533039,Alshon Jeffery,-7.360095,0.507,-7.867095
2089,2532877,Trumaine Johnson,2561521,Cameron Batson,-6.944836,-0.10300000000000001,-6.841836
1115,2555277,Eli Apple,2558010,John Ross,-6.868956,-0.3,-6.568956
4068,2540155,Xavier Rhodes,2556462,Robby Anderson,-6.779244,0.013999999999999999,-6.7932440000000005
2510,496733,Joe Haden,2552458,Devin Funchess,-6.655936,0.001,-6.656936
3490,2557840,Chidobe Awuzie,2543500,Jordan Matthews,-6.526869,0.46799999999999997,-6.994869
173,2543823,E.J. Gaines,2543572,Martavis Bryant,-6.438042,-0.146,-6.292042
770,89756,Jason McCourty,2558877,Zach Pascal,-6.421602,-0.07,-6.351602
2278,2560830,Isaiah Oliver,2556519,Alex Erickson,-5.862922,-0.33899999999999997,-5.523922000000001
3773,2495872,Johnathan Joseph,2560988,Antonio Callaway,-5.802939,-0.061,-5.741939
452,2555539,Xavien Howard,2543572,Martavis Bryant,-5.795052,-0.146,-5.649052
1021,2532875,Janoris Jenkins,2552487,Amari Cooper,-5.784489,0.27899999999999997,-6.063489
1047,2556735,Ken Crawley,2557986,David Njoku,-5.758633,0.002,-5.7606329999999994
3609,2543681,Kyle Fuller,2550272,Albert Wilson,-5.561805,0.159,-5.7208049999999995
2438,2556559,Mike Hilton,2552652,Chris Conley,-5.355284,0.077,-5.432284
2593,2558136,Fabian Moreau,2553568,Cameron Meredith,-5.340329,0.12,-5.460329
3388,2539237,D.J. Hayden,2555317,Tajae Sharpe,-5.197871,0.146,-5.343871
3067,1037374,Sam Shields,2558208,Chad Williams,-5.150948,-0.38,-4.770948
