,displayName,position,snaps,zone,zone-deep,zone-over,man,man-over,blitz,games played,Team,zone %,zone-deep %,zone-over %,man %,man-over %,blitz %,zone-total,man-total
306,Dominique Rodgers-Cromartie,CB,64,7,17,25,3,12,0,5,OAK,10.9,26.6,39.1,4.7,18.8,0.0,49,15
1302,Aqib Talib,CB,202,19,79,60,25,19,0,8,LA,9.4,39.1,29.7,12.4,9.4,0.0,158,44
2307,Orlando Scandrick,CB,462,43,89,84,146,100,0,13,KC,9.3,19.3,18.2,31.6,21.6,0.0,216,246
2354,Wesley Woodyard,ILB,381,54,12,250,0,5,60,14,TEN,14.2,3.1,65.6,0.0,1.3,15.7,316,5
4365,Brandon Carr,CB,517,69,91,98,154,94,11,16,BAL,13.3,17.6,19.0,29.8,18.2,2.1,258,248
71197,Connor Barwin,OLB,150,9,0,27,5,3,106,15,NYG,6.0,0.0,18.0,3.3,2.0,70.7,36,8
71251,Patrick Chung,SS,525,96,65,152,100,68,44,15,NE,18.3,12.4,29.0,19.0,13.0,8.4,313,168
71423,Brian Orakpo,OLB,303,22,1,73,2,1,204,13,TEN,7.3,0.3,24.1,0.7,0.3,67.3,96,3
71441,Glover Quin,FS,417,81,282,28,14,3,9,16,DET,19.4,67.6,6.7,3.4,0.7,2.2,391,17
79848,Malcolm Jenkins,SS,630,203,178,100,78,23,48,16,PHI,32.2,28.3,15.9,12.4,3.7,7.6,481,101
79901,Vontae Davis,CB,15,3,3,2,6,1,0,1,BUF,20.0,20.0,13.3,40.0,6.7,0.0,8,7
80431,Clay Matthews,OLB,387,45,0,68,9,10,255,16,GB,11.6,0.0,17.6,2.3,2.6,65.9,113,19
80668,Captain Munnerlyn,CB,397,57,30,160,59,70,21,16,CAR,14.4,7.6,40.3,14.9,17.6,5.3,247,129
89756,Jason McCourty,CB,504,72,77,95,156,100,4,16,NE,14.3,15.3,18.8,31.0,19.8,0.8,244,256
238227,Mike Mitchell,FS,127,45,72,7,0,0,3,8,IND,35.4,56.7,5.5,0.0,0.0,2.4,124,0
494259,Barry Church,SS,333,66,222,26,11,3,5,11,JAX,19.8,66.7,7.8,3.3,0.9,1.5,314,14
494261,Kurt Coleman,SS,184,38,86,29,6,10,15,16,NO,20.7,46.7,15.8,3.3,5.4,8.2,153,16
494277,Kendrick Lewis,FS,146,27,102,11,3,3,0,8,TEN,18.5,69.9,7.5,2.1,2.1,0.0,140,6
494287,Devin McCourty,FS,592,122,313,93,37,15,12,16,NE,20.6,52.9,15.7,6.2,2.5,2.0,528,52
494289,Sherrick McManis,CB,161,14,16,68,19,30,14,15,CHI,8.7,9.9,42.2,11.8,18.6,8.7,98,49
494307,Darian Stewart,FS,423,64,301,36,6,8,8,13,DEN,15.1,71.2,8.5,1.4,1.9,1.9,401,14
496723,Eric Berry,SS,45,11,25,2,3,2,2,2,KC,24.4,55.6,4.4,6.7,4.4,4.4,38,5
496727,Morgan Burnett,SS,234,31,40,115,13,20,15,11,PIT,13.2,17.1,49.1,5.6,8.5,6.4,186,33
496733,Joe Haden,CB,521,60,116,110,144,90,1,15,PIT,11.5,22.3,21.1,27.6,17.3,0.2,286,234
496735,Kareem Jackson,CB,542,74,142,218,48,48,12,16,HOU,13.7,26.2,40.2,8.9,8.9,2.2,434,96
496739,Reshad Jones,SS,387,65,271,34,3,7,7,14,MIA,16.8,70.0,8.8,0.8,1.8,1.8,370,10
496814,Albert McClellan,OLB,10,2,2,1,1,0,4,3,BAL,20.0,20.0,10.0,10.0,0.0,40.0,5,1
496814,Albert McClellan,OLB,6,0,0,4,0,0,2,2,NE,0.0,0.0,66.7,0.0,0.0,33.3,4,0
