team,play count,heavy count,standard count,nickel count,dime count,quarter count,heavy percent,standard percent,nickel percent,dime percent,quarter percent,overall epa,heavy epa,standard epa,nickel epa,dime epa,quarter epa,overall epa rate,heavy epa rate,standard epa rate,nickel epa rate,dime epa rate,quarter epa rate
CHI,621,3,78,496,42,2,0.5,12.6,79.9,6.8,0.3,-24.45814900000001,3.708844,7.599955,-25.658569000000018,-11.040015,0.931636,-0.03938510305958134,0.030651603305785126,0.06280954545454545,-0.21205428925619849,-0.09123979338842976,0.0076994710743801655
BUF,507,0,65,440,0,0,0.0,12.8,86.8,0.0,0.0,-0.4708209999999967,0.0,-5.723762999999999,5.249235000000007,0.0,0.0,-0.0009286410256410192,0.0,-0.047303826446280985,0.043382107438016584,0.0,0.0
BAL,596,1,56,308,226,5,0.2,9.4,51.7,37.9,0.8,10.553222999999964,1.5613,15.185914999999998,8.890013,-10.222288999999982,-4.861716,0.017706749999999938,0.012903305785123966,0.1255034297520661,0.07347118181818181,-0.08448172727272713,-0.04017947107438017
MIN,456,2,49,398,6,0,0.4,10.7,87.3,1.3,0.0,18.362861000000034,-3.801854,10.348018000000007,10.744882000000029,1.0649060000000001,0.0,0.04026943201754393,-0.031420280991735536,0.08552080991735543,0.08880067768595065,0.008800876033057852,0.0
NE,613,10,51,297,182,73,1.6,8.3,48.5,29.7,11.9,19.834757000000064,6.236327,19.217143,28.082868,-22.970694999999996,-10.730886000000007,0.032356862969004994,0.05153989256198347,0.15881936363636365,0.2320898181818182,-0.1898404545454545,-0.08868500826446286
LAC,527,3,77,51,354,41,0.6,14.6,9.7,67.2,7.8,24.328505999999983,2.7134240000000003,19.279627,-15.591052999999995,17.626021000000005,0.29980100000000176,0.0461641480075901,0.022424991735537192,0.15933576033057853,-0.12885167768595038,0.14566959504132235,0.0024776942148760474
JAX,511,1,77,430,3,0,0.2,15.1,84.1,0.6,0.0,30.862311000000002,1.725142,4.665805,26.98924799999999,-2.517884,0.0,0.06039591193737769,0.014257371900826446,0.038560371900826444,0.22305163636363629,-0.02080895867768595,0.0
CLE,635,1,147,485,2,0,0.2,23.1,76.4,0.3,0.0,53.35976400000003,-0.139081,27.106190000000012,29.742704000000025,-3.3500490000000003,0.0,0.08403112440944886,-0.0011494297520661158,0.2240180991735538,0.24580747107438036,-0.02768635537190083,0.0
IND,548,1,112,270,164,0,0.2,20.4,49.3,29.9,0.0,53.41118699999998,-0.880617,41.985127,26.44921499999998,-14.142738999999997,0.0,0.09746566970802915,-0.007277826446280992,0.34698452066115704,0.2185885537190081,-0.11688214049586775,0.0
TEN,538,1,88,439,0,10,0.2,16.4,81.6,0.0,1.9,58.24981199999998,-0.832964,35.02114699999999,34.70593799999998,0.0,-10.644309,0.10827102602230479,-0.006884,0.2894309669421487,0.2868259338842974,0.0,-0.08796949586776859
HOU,596,3,130,321,141,0,0.5,21.8,53.9,23.7,0.0,63.00489399999996,8.267275,43.558226000000005,-8.64268000000001,19.823918999999993,0.0,0.10571290939597308,0.0683245867768595,0.35998533884297523,-0.0714271074380166,0.163834041322314,0.0
DEN,527,1,191,109,224,0,0.2,36.2,20.7,42.5,0.0,69.79484799999997,3.605867,46.419781,9.927181000000003,9.842516999999992,0.0,0.1324380417457305,0.029800553719008263,0.3836345537190083,0.0820428181818182,0.08134311570247928,0.0
LA,538,2,158,168,209,0,0.4,29.4,31.2,38.8,0.0,74.264319,1.612529,45.824051000000026,21.118590999999995,5.710138999999987,0.0,0.13803776765799255,0.013326685950413223,0.3787111652892564,0.17453380991735534,0.047191231404958574,0.0
PIT,573,0,118,172,282,1,0.0,20.6,30.0,49.2,0.2,75.33892899999994,0.0,30.898560000000007,33.53814,13.012539999999978,-2.110311,0.13148155148342047,0.0,0.25536000000000003,0.2771747107438016,0.1075416528925618,-0.0174405867768595
WAS,547,2,94,445,6,0,0.4,17.2,81.4,1.1,0.0,83.05215399999996,2.472649,50.460685999999995,24.114889999999995,6.003929,0.0,0.15183209140767817,0.02043511570247934,0.4170304628099173,0.1992966115702479,0.0496192479338843,0.0
PHI,633,7,77,372,175,2,1.1,12.2,58.8,27.6,0.3,83.40418399999996,8.546064999999999,30.845924,36.319997000000015,10.481412999999996,-2.7892150000000004,0.13176016429699836,0.07062863636363635,0.2549249917355372,0.30016526446281006,0.08662324793388426,-0.02305136363636364
ARI,507,2,18,453,33,0,0.4,3.6,89.3,6.5,0.0,84.02839099999998,-0.960514,-0.03799499999999989,89.09903500000001,-4.11422,0.0,0.16573647140039444,-0.007938132231404958,-0.000314008264462809,0.7363556611570249,-0.03400181818181819,0.0
SEA,513,1,106,303,97,6,0.2,20.7,59.1,18.9,1.2,84.08548599999999,-0.305772,38.60190499999999,52.963964999999966,-5.744135,-1.4304769999999998,0.16390932943469783,-0.0025270413223140494,0.3190240082644627,0.4377187190082642,-0.047472190082644625,-0.011822123966942146
NYJ,590,2,102,454,31,0,0.3,17.3,76.9,5.3,0.0,86.59743799999993,3.9410359999999995,37.61941600000002,66.395159,-21.312750999999995,0.0,0.14677531864406768,0.03257054545454545,0.3109042644628101,0.5487203223140497,-0.1761384380165289,0.0
