,db nflId,db name,rc nflId,rc name,play epa,expected epa,epa delta
5363,2532966,Bobby Wagner,2560938,Jeff Wilson,-11.935951,-0.51,-11.425951
4862,2540180,Tyrann Mathieu,2540160,Jordan Reed,-11.37211,-0.14,-11.232109999999999
5435,2557927,Desmond King,2346,Pierre Garcon,-10.175076,-0.095,-10.080076
4659,2558176,Eddie Jackson,2558049,Michael Roberts,-9.084004,-0.535,-8.549004
5105,2543592,Anthony Hitchens,1032,Jordy Nelson,-8.887855,0.17600000000000002,-9.063855
3868,2552488,Marcus Peters,71265,Jared Cook,-8.816359,0.22699999999999998,-9.043359
2451,2539233,Shawn Williams,2558149,JuJu Smith-Schuster,-8.762911,0.332,-9.094911000000002
2082,2540288,Darius Slay,2561272,Trent Sherfield,-8.755952,0.038,-8.793952
1285,2552484,P.J. Williams,2552608,Stefon Diggs,-8.719241,-0.02,-8.699241
625,2560725,Minkah Fitzpatrick,2552608,Stefon Diggs,-8.626073,-0.02,-8.606073
4354,2543711,Telvin Smith,2560967,Kalen Ballage,-8.540221,-0.7609999999999999,-7.779221000000001
4877,2495872,Johnathan Joseph,2560988,Antonio Callaway,-8.340759,-0.061,-8.279759
3971,2532789,Mark Barron,2541187,Demetrius Harris,-7.953938,0.14800000000000002,-8.101938
4098,2556278,Will Parks,2552656,J.J. Nelson,-7.915849,-0.353,-7.562849
4810,2495872,Johnathan Joseph,2543471,Kelvin Benjamin,-7.856518,-0.493,-7.363518
4226,2543711,Telvin Smith,2560968,Saquon Barkley,-7.856198,-0.083,-7.773198
3533,2550613,Malcolm Butler,2555343,Josh Doctson,-7.36444,-0.07,-7.29444
485,496739,Reshad Jones,2495966,Delanie Walker,-7.245852,-0.698,-6.547852000000001
2470,2557979,Jamal Adams,2540020,Theo Riddick,-7.143562,-0.226,-6.917562
4982,2530794,Ron Parker,2553318,James O'Shaughnessy,-6.939921,-0.285,-6.654921
4094,2532898,Brandon Marshall,2559248,Ricky Seals-Jones,-6.69434,-0.486,-6.208340000000001
4606,2553500,Bryce Callahan,2557863,Zay Jones,-6.689374,-0.109,-6.580374
5286,2560728,Tre Flowers,2552475,Todd Gurley,-6.635604,0.047,-6.6826039999999995
3742,2558157,Ahkello Witherspoon,2540154,Keenan Allen,-6.528417,0.257,-6.785417
3996,2540197,Nickell Robey-Coleman,2535964,Josh Bellamy,-6.40201,-0.42100000000000004,-5.9810099999999995
883,71251,Patrick Chung,2540258,Travis Kelce,-6.393586,0.52,-6.9135860000000005
5456,2557927,Desmond King,2543488,Jarvis Landry,-6.380594,-0.036000000000000004,-6.344594000000001
4458,2541832,Jeff Heath,2560854,Calvin Ridley,-6.362741,0.483,-6.845740999999999
3539,2539320,Kenny Vaccaro,2560742,Nyheim Hines,-6.355344,0.071,-6.426343999999999
674,2556642,Patrick Onwuasor,2552399,Jeff Heuerman,-6.275991,-0.294,-5.981991000000001
4413,2560908,Leighton Vander Esch,2557895,Dede Westbrook,-6.275592,0.183,-6.4585919999999994
4012,2558183,John Johnson,2540158,Zach Ertz,-6.223242,0.207,-6.430242
2750,2535867,Julian Stanford,2550284,Trey Burton,-6.17666,0.07,-6.24666
491,2560725,Minkah Fitzpatrick,2543828,Quincy Enunwa,-6.172672,-0.051,-6.121672
3670,2555552,Ryan Smith,2560813,D.J. Moore,-6.125723,0.045,-6.170723
2369,2560970,Jessie Bates,2543468,Mike Evans,-6.10731,0.39799999999999996,-6.50531
1115,2532875,Janoris Jenkins,1581,DeSean Jackson,-6.042674,0.207,-6.249674
478,2560789,Darius Leonard,2553896,Darius Jennings,-5.903777,-0.316,-5.587777
1164,2535687,Michael Thomas,2555343,Josh Doctson,-5.86759,-0.07,-5.79759
1144,2552454,Landon Collins,2558250,Tarik Cohen,-5.859216,0.335,-6.194216
3286,2543470,Ha Ha Clinton-Dix,2558105,Chris Godwin,-5.817405,0.28600000000000003,-6.103405
1775,2506789,Tramon Williams,2555214,Laquon Treadwell,-5.774075,-0.14300000000000002,-5.631075
5176,2552448,Trae Waynes,2555477,Charone Peake,-5.762601,-1.525,-4.237601
66,2552315,Jordan Hicks,2550599,Scott Simonson,-5.745919,-0.342,-5.403919
4472,2555531,Anthony Brown,2555343,Josh Doctson,-5.703398,-0.07,-5.633398
1158,2561318,Tae Davis,2552415,Jamison Crowder,-5.694212,0.1,-5.794212
370,2558851,Anthony Walker,2540158,Zach Ertz,-5.674805,0.207,-5.881805
1303,2552484,P.J. Williams,2556519,Alex Erickson,-5.660743,-0.33899999999999997,-5.321743
1060,2535687,Michael Thomas,2560813,D.J. Moore,-5.645604,0.045,-5.6906039999999996
1842,2558119,Josh Jones,2649,Danny Amendola,-5.621644,-0.028999999999999998,-5.592644
1630,2555175,James Bradberry,2543496,Odell Beckham Jr.,-5.610433,0.305,-5.915432999999999
502,2555539,Xavien Howard,2531332,Terrelle Pryor,-5.563309,0.0,-5.563309
2396,2533060,Dre Kirkpatrick,2550256,Willie Snead,-5.551309,0.061,-5.612309
2531,2533059,Morris Claiborne,2543759,Ryan Grant,-5.53531,0.087,-5.62231
549,496739,Reshad Jones,2556478,Ben Braunecker,-5.516416,-0.7440000000000001,-4.772416000000001
3278,2543470,Ha Ha Clinton-Dix,2495454,Julio Jones,-5.502068,0.402,-5.9040680000000005
1116,2553822,Curtis Riley,1581,DeSean Jackson,-5.498024,0.207,-5.705024
403,238227,Mike Mitchell,2495139,Charles Clay,-5.466405,-0.498,-4.968405
4306,2532848,Tashaun Gipson,2508061,Antonio Brown,-5.463642,0.114,-5.577642
2367,2560839,Darius Phillips,2543468,Mike Evans,-5.405356,0.39799999999999996,-5.803356
4156,494307,Darian Stewart,2508061,Antonio Brown,-5.400133,0.114,-5.514133
426,2552386,Clayton Geathers,2555317,Tajae Sharpe,-5.38424,0.146,-5.53024
4031,2553536,Troy Hill,2560761,Richie James,-5.378947,-0.381,-4.997947
4667,2543681,Kyle Fuller,2543496,Odell Beckham Jr.,-5.377866,0.305,-5.682866
2795,2506268,Lorenzo Alexander,2539265,Rex Burkhead,-5.369135,-0.415,-4.954135
644,4365,Brandon Carr,2543471,Kelvin Benjamin,-5.34807,-0.493,-4.8550699999999996
1670,2555175,James Bradberry,2543468,Mike Evans,-5.341136,0.39799999999999996,-5.739135999999999
2757,2539290,Jordan Poyer,2560738,Chris Herndon,-5.293247,0.16,-5.453247
4926,2560851,Justin Reid,2552600,Nelson Agholor,-5.280933,0.204,-5.484933
2044,2552262,Quandre Diggs,2550284,Trey Burton,-5.272436,0.07,-5.342436
2535,2543597,Avery Williamson,2556396,Chester Rogers,-5.230783,0.158,-5.388783
265,2539311,Jamie Collins,2552633,Jesse James,-5.230407,0.493,-5.723407
5352,2539243,Bradley McDougald,2552622,Chris Manhertz,-5.154129,-0.09,-5.064129
3576,2557945,Justin Evans,2558149,JuJu Smith-Schuster,-5.086896,0.332,-5.418896
1526,2558009,Budda Baker,497149,LeGarrette Blount,-5.078507,-0.43700000000000006,-4.641507
